product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
Funfoods Peanut Butter Crunchy,169.0,156.0,7,1,400,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Go Cheese  Spread Plain,99.0,94.0,5,6,200,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Go Cheese Spread - Four Pepper (Soft & Creamy),99.0,94.0,5,6,200,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Go Cheese Spread - Garlic,99.0,94.0,5,6,200,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Japanese Choice Udon Noodles,295.0,266.0,9,6,250,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Kitchens of India Dal Bukhara Gravy Mix,110.0,77.0,30,6,285,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Kitchens of India Mutter Paneer Mix,120.0,84.0,30,4,285,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
MTR 3 Min Poha,25.0,25.0,0,6,60,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
MTR Breakfast Khatta Meetha Poha Mix,25.0,20.0,20,6,60,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Maggi 2 Minute Masala Noodles,12.0,12.0,0,6,70,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Maggi 2-Minute Instant Noodles - Masala,44.0,44.0,0,0,280,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Maggi Chilly Chow Cuppa Noodles,50.0,50.0,0,0,70,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Maggi Special Masala Spicy Yummy Noodles,72.0,72.0,0,0,280,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Masala Oats Masala & Coriander,195.0,176.0,9,5,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
McCain New Mini Samosa with Cheese Corn Style Filling,120.0,118.0,1,2,240,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
McCain New Mini Samosa with Cheese Pizza Style Filling,120.0,118.0,1,3,240,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Mother's Recipe Tamarind Paste,50.0,49.0,2,2,200,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Mother's Recipe Tamarind Paste,50.0,49.0,2,6,200,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Nissin Cup Noodles Tangy Tomato,50.0,45.0,10,2,70,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Praakritik Organic Jumbo Rolled Oats,190.0,169.0,11,6,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Quaker Oats,79.0,79.0,0,2,400,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Quaker Oats,199.0,184.0,7,6,1000,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,49.0,45.0,8,6,200,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Quaker Oats Pouch,276.0,248.0,10,6,1500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Saffola Everyday Peppy Tomato Masala Oats,195.0,171.0,12,6,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Saffola Oats 100 % Natural,15.0,15.0,0,0,38,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Saffola Veggie Twist Masala Oats,15.0,15.0,0,6,38,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Saffola Veggie Twist Masala Oats,195.0,171.0,12,2,500,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Saffola Yummy Masala Noodles,20.0,20.0,0,2,46,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast Pasta Treat Pack of Tomato Cheese,28.0,23.0,17,0,65,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast YiPPee! Magic Masala Noodles,70.0,63.0,10,3,405,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast Yippee! Magic Masala Noodles,48.0,45.0,6,0,240,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast Yippee! Mood Masala Noodles,60.0,43.0,28,3,260,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,28.0,23.0,17,3,65,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,28.0,25.0,10,1,65,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Sunfeast Yippee! Power Up Atta Noodles,96.0,81.0,15,6,280,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
The Laughing Cow Cheese Spread Plain,110.0,110.0,0,6,180,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
The Whole Truth Dark Chocolate Peanut Butter - Creamy,235.0,174.0,25,6,325,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
The Whole Truth Dark Chocolate Peanut Butter - Crunchy,235.0,188.0,20,5,325,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
The Whole Truth Peanut Butter - Sweetened & Crunchy,215.0,172.0,20,6,325,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
The Whole Truth Peanut Butter - Unsweetened & Crunchy,185.0,148.0,20,0,325,True,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
The Whole Truth Peanut Butter With Dates - Creamy No Sugar,215.0,194.0,9,6,325,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
