priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
94,13,Beverages,"Amul Cheese Spread Yummy Plain",85.0,85.0,0,0,200,1,21.71,0.0,55
95,1190,"Dairy, Bread & Batter","Amul Cheese Spread Spicy Garlic",85.0,82.0,3,0,200,1,21.71,0.0,55
96,1191,"Dairy, Bread & Batter","Amul Cheese Spread Yummy Plain",85.0,85.0,0,0,200,1,21.71,0.0,55
97,89,Beverages,"Prabhat Malai Paneer Pouch",80.0,80.0,0,0,200,1,21.71,0.0,55
98,194,Biscuits,"Cadbury Oreo Chocolatey Sandwich Biscuits Family Pack",80.0,80.0,0,0,300,1,28.57,0.0,55
99,1043,"Cooking Essentials","Popular Essentials Toor Dal (Un-Polished)",80.0,74.0,7,0,500,1,12.45,0.0,55
100,1267,"Dairy, Bread & Batter","Prabhat Malai Paneer Pouch",80.0,80.0,0,0,200,1,21.71,0.0,55
101,2521,Munchies,"Popular Essentials Toor Dal (Un-Polished)",80.0,74.0,7,0,500,1,12.45,0.0,55
102,82,Beverages,"Nestle A+ Slim Dahi - Low Fat",78.0,75.0,3,0,400,1,21.71,0.0,55
103,1260,"Dairy, Bread & Batter","Nestle A+ Slim Dahi - Low Fat",78.0,75.0,3,0,400,1,21.71,0.0,55
104,21,Beverages,"Amul Malai Paneer Fresh",76.0,73.0,3,0,200,1,21.71,0.0,55
105,1199,"Dairy, Bread & Batter","Amul Malai Paneer Fresh",76.0,73.0,3,0,200,1,21.71,0.0,55
106,171,Biscuits,"Britannia Nutrichoice 5 Grain Digestive Biscuits",75.0,75.0,0,0,200,1,28.57,0.0,55
107,9,Beverages,"Amul Cheese Slices",71.0,70.0,1,0,100,1,21.71,0.0,55
108,1187,"Dairy, Bread & Batter","Amul Cheese Slices",71.0,70.0,1,0,100,1,21.71,0.0,55
109,1651,"Home & Cleaning","Rin Fabric Whitener Detergent",69.0,62.0,10,0,500,1,9.84,0.0,55
110,109,Beverages,"The Bake Shop Multi Grain Bread",65.0,65.0,0,0,400,1,21.71,0.0,55
111,253,Biscuits,"The Bake Shop Jeera Khari",65.0,65.0,0,0,200,1,28.57,0.0,55
112,1287,"Dairy, Bread & Batter","The Bake Shop Multi Grain Bread",65.0,65.0,0,0,400,1,21.71,0.0,55
